city,stadium,country,lat,lon,altitude_m
Mexico City,Estadio Azteca,Mexico,19.3029,-99.1505,2240
Zapopan,Estadio Akron,Mexico,20.6817,-103.4625,1566
Guadalupe,Estadio BBVA,Mexico,25.6692,-100.2444,540
Toronto,BMO Field,Canada,43.6332,-79.4186,76
Vancouver,BC Place,Canada,49.2767,-123.1119,9
Atlanta,Mercedes-Benz Stadium,United States,33.7554,-84.4010,313
Boston,Gillette Stadium,United States,42.0909,-71.2643,89
Foxborough,Gillette Stadium,United States,42.0909,-71.2643,89
Dallas,AT&T Stadium,United States,32.7473,-97.0945,168
Arlington,AT&T Stadium,United States,32.7473,-97.0945,168
Houston,NRG Stadium,United States,29.6847,-95.4107,15
Kansas City,Arrowhead Stadium,United States,39.0489,-94.4839,265
Inglewood,SoFi Stadium,United States,33.9535,-118.3392,30
Miami Gardens,Hard Rock Stadium,United States,25.9580,-80.2389,3
East Rutherford,MetLife Stadium,United States,40.8135,-74.0745,2
Philadelphia,Lincoln Financial Field,United States,39.9008,-75.1675,12
Santa Clara,Levi's Stadium,United States,37.4030,-121.9700,3
Seattle,Lumen Field,United States,47.5952,-122.3316,5
New York,MetLife Stadium,United States,40.8135,-74.0745,2
Los Angeles,SoFi Stadium,United States,33.9535,-118.3392,30
San Francisco,Levi's Stadium,United States,37.4030,-121.9700,3
Monterrey,Estadio BBVA,Mexico,25.6692,-100.2444,540
